	565492	565496	565516	565531	565551	565558	565559	565562	565610	565621	565630	565631	565633	565648	565675	565753	565773	565801	565859	565898	565964	566010	566074	567497	567500	567510	567526	567531	567618	567891
565492	99999	449.1874	99999	99999	416.266	545.2978	99999	99999	99999	99999	99999	99999	316.7506	479.315	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
565496	449.1874	99999	99999	99999	99999	99999	99999	99999	99999	503.8078	99999	99999	582.8365	311.0634	99999	99999	442.1213	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
565516	99999	99999	99999	99999	338.1302	449.6854	463.2332	99999	328.3234	99999	99999	99999	99999	99999	548.7355	99999	99999	99999	99999	99999	99999	99999	428.733	99999	99999	99999	99999	99999	99999	99999
565531	99999	99999	99999	99999	99999	99999	99999	99999	99999	477.2548	99999	99999	99999	99999	99999	99999	550.5182	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	506.3234	99999
565551	416.266	99999	338.1302	99999	99999	364.5442	577.1837	99999	99999	99999	99999	99999	541.0961	99999	437.3794	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	595.1511
565558	545.2978	99999	449.6854	99999	364.5442	99999	296.9246	99999	99999	99999	99999	99999	431.4462	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	258.7995
565559	99999	99999	463.2332	99999	577.1837	296.9246	99999	99999	433.0547	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	407.0629
565562	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	530.1592	99999	99999	99999	268.8877	99999	498.5561	99999	99999	99999	450.1331	99999	99999	99999	99999	99999	99999	99999	99999
565610	99999	99999	328.3234	99999	99999	99999	433.0547	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	320.7134	99999	99999	99999	452.252	99999	99999	99999	99999	99999	99999	99999
565621	99999	503.8078	99999	477.2548	99999	99999	99999	99999	99999	99999	459.9402	99999	99999	334.4935	99999	99999	352.5686	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	464.0281	99999
565630	99999	99999	99999	99999	99999	99999	99999	99999	99999	459.9402	99999	99999	99999	528.2188	99999	477.2569	99999	315.8409	99999	99999	99999	99999	99999	552.2324	99999	99999	99999	99999	281.6071	99999
565631	99999	99999	99999	99999	99999	99999	99999	530.1592	99999	99999	99999	99999	99999	99999	99999	456.9191	99999	309.1911	99999	317.8843	99999	440.4898	99999	99999	99999	99999	99999	99999	99999	99999
565633	316.7506	582.8365	99999	99999	541.0961	431.4462	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	374.6192
565648	479.315	311.0634	99999	99999	99999	99999	99999	99999	99999	334.4935	528.2188	99999	99999	99999	820.2554	99999	511.2219	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
565675	99999	99999	548.7355	99999	437.3794	99999	99999	99999	99999	99999	99999	99999	99999	820.2554	99999	99999	99999	99999	99999	465.2333	99999	99999	99999	99999	313.6952	99999	99999	99999	99999	99999
565753	99999	99999	99999	99999	99999	99999	99999	268.8877	99999	99999	477.2569	456.9191	99999	99999	99999	99999	99999	278.0395	99999	99999	99999	99999	99999	439.0067	99999	99999	99999	99999	532.7057	99999
565773	99999	442.1213	99999	550.5182	99999	99999	99999	99999	99999	352.5686	99999	99999	99999	511.2219	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
565801	99999	99999	99999	99999	99999	99999	99999	498.5561	99999	99999	315.8409	309.1911	99999	99999	99999	278.0395	99999	99999	99999	591.8393	99999	99999	99999	99999	99999	99999	99999	99999	514.887	99999
565859	99999	99999	99999	99999	99999	99999	99999	99999	320.7134	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	521.4303	99999	99999	99999	99999	648.1918	99999	99999
565898	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	317.8843	99999	99999	465.2333	99999	99999	591.8393	99999	99999	99999	574.9925	99999	99999	350.6708	407.1607	507.9595	99999	99999	99999
565964	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	304.23	253.3706	661.1781	99999	99999
566010	99999	99999	99999	99999	99999	99999	99999	450.1331	99999	99999	99999	440.4898	99999	99999	99999	99999	99999	99999	99999	574.9925	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
566074	99999	99999	428.733	99999	99999	99999	99999	99999	452.252	99999	99999	99999	99999	99999	99999	99999	99999	99999	521.4303	99999	99999	99999	99999	99999	517.9626	99999	99999	407.9118	99999	99999
567497	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	552.2324	99999	99999	99999	99999	439.0067	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	360.6948	99999
567500	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	313.6952	99999	99999	99999	99999	350.6708	99999	99999	517.9626	99999	99999	411.5479	567.4355	733.7124	99999	99999
567510	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	407.1607	304.23	99999	99999	99999	411.5479	99999	156.8037	99999	99999	99999
567526	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	507.9595	253.3706	99999	99999	99999	567.4355	156.8037	99999	99999	99999	99999
567531	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	648.1918	99999	661.1781	99999	407.9118	99999	733.7124	99999	99999	99999	99999	99999
567618	99999	99999	99999	506.3234	99999	99999	99999	99999	99999	464.0281	281.6071	99999	99999	99999	99999	532.7057	99999	514.887	99999	99999	99999	99999	99999	360.6948	99999	99999	99999	99999	99999	99999
567891	99999	99999	99999	99999	595.1511	258.7995	407.0629	99999	99999	99999	99999	99999	374.6192	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
